Channel,Timestamp,X,Y,Z
0,108805607,0.005,0,1.023
0,108807934,0.005,-0.001,1.021
0,108810261,0.005,0,1.025
0,108812588,0.007,0.001,1.024
0,108814915,0.017,0.005,1.026
0,108817242,0.028,0.006,1.029
0,108819568,0.033,0.005,1.022
0,108821895,0.025,0.003,1.025
0,108824221,0.025,0.001,1.024
0,108826549,0.004,-0.002,1.021
0,108828875,-0.011,-0.004,1.021
0,108831202,-0.026,-0.005,1.019
0,108833529,-0.027,-0.005,1.021
0,108835855,-0.014,-0.002,1.02
0,108838182,-0.001,-0.001,1.023
0,108840509,0.005,0,1.021
0,108842836,0.006,0,1.022
0,108845163,0.007,0,1.023
0,108847490,0.005,-0.001,1.022
0,108849817,0.007,-0.001,1.025
0,108852144,0.006,0,1.022
0,108854471,0.005,0,1.02
0,108856797,0.008,-0.001,1.019
0,108859124,0.006,-0.001,1.019
0,108861452,0.007,-0.002,1.018
0,108863779,0.007,-0.002,1.02
0,108866105,0.007,-0.001,1.018
0,108868432,0.008,-0.002,1.017
0,108870759,0.008,-0.001,1.02
0,108873086,0.009,-0.002,1.022
2,108804580,0.013,-0.015,1.033
2,108806904,0.013,-0.016,1.033
2,108809228,0.014,-0.016,1.034
2,108811552,0.013,-0.014,1.037
2,108813876,0.012,-0.011,1.037
2,108816200,0.012,-0.011,1.038
2,108818524,0.009,-0.01,1.036
2,108820849,0.012,-0.012,1.036
2,108823173,0.012,-0.011,1.038
2,108825497,0.015,-0.015,1.033
2,108827821,0.015,-0.019,1.035
2,108830146,0.017,-0.027,1.033
2,108832470,0.018,-0.027,1.032
2,108834794,0.016,-0.024,1.035
2,108837119,0.016,-0.02,1.034
2,108839443,0.013,-0.019,1.034
2,108841767,0.014,-0.017,1.035
2,108844090,0.015,-0.017,1.035
2,108846414,0.013,-0.019,1.035
2,108848738,0.012,-0.017,1.036
2,108851062,0.014,-0.017,1.034
2,108853386,0.014,-0.017,1.034
2,108855710,0.013,-0.018,1.034
2,108858034,0.014,-0.017,1.033
2,108860358,0.013,-0.018,1.033
2,108862682,0.014,-0.017,1.032
2,108865006,0.013,-0.018,1.031
2,108867330,0.016,-0.02,1.034
2,108869654,0.015,-0.02,1.032
2,108871978,0.011,-0.019,1.034
0,108875413,0.007,0,1.021
0,108877740,0.008,-0.003,1.025
0,108880066,0.008,0,1.019
0,108882393,0.006,-0.001,1.022
0,108884720,0.008,-0.001,1.02
0,108887047,0.007,0,1.022
0,108889373,0.008,0,1.023
0,108891700,0.01,0,1.016
0,108894028,0.008,0,1.021
0,108896354,0.008,0,1.019
0,108898681,0.007,0,1.02
0,108901008,0.007,0,1.021
0,108903335,0.008,0,1.024
0,108905662,0.008,0.001,1.024
0,108907989,0.006,0,1.023
0,108910315,0.006,0,1.022
0,108912642,0.006,-0.001,1.023
0,108914969,0.006,-0.001,1.025
0,108917296,0.005,0,1.023
0,108919623,0.005,0,1.021
0,108921950,0.005,-0.001,1.021
0,108924277,0.005,0,1.02
0,108926603,0.005,-0.001,1.021
0,108928930,0.005,0,1.022
0,108931258,0.006,-0.001,1.021
0,108933584,0.005,0,1.021
0,108935911,0.007,0,1.023
0,108938238,0.006,0.001,1.026
0,108940565,0.005,0.001,1.025
0,108942892,0.006,0.001,1.021
2,108874302,0.016,-0.021,1.036
2,108876625,0.015,-0.018,1.037
2,108878950,0.016,-0.019,1.034
2,108881273,0.013,-0.02,1.038
2,108883598,0.013,-0.018,1.038
2,108885922,0.016,-0.018,1.032
2,108888246,0.014,-0.019,1.037
2,108890570,0.012,-0.016,1.031
2,108892894,0.012,-0.018,1.033
2,108895218,0.014,-0.018,1.034
2,108897542,0.014,-0.018,1.03
2,108899866,0.011,-0.019,1.034
2,108902190,0.012,-0.016,1.035
2,108904514,0.013,-0.019,1.036
2,108906838,0.012,-0.018,1.037
2,108909163,0.013,-0.019,1.036
2,108911487,0.012,-0.019,1.036
2,108913811,0.012,-0.017,1.038
2,108916135,0.013,-0.017,1.036
2,108918459,0.013,-0.018,1.037
2,108920783,0.012,-0.019,1.037
2,108923107,0.011,-0.019,1.033
2,108925431,0.01,-0.02,1.036
2,108927756,0.012,-0.019,1.034
2,108930080,0.011,-0.019,1.035
2,108932404,0.011,-0.019,1.037
2,108934729,0.012,-0.02,1.038
2,108937053,0.01,-0.018,1.038
2,108939378,0.011,-0.018,1.038
2,108941702,0.012,-0.018,1.039
0,108956853,0.006,0.001,1.02
0,108959180,0.007,0.002,1.021
0,108961507,0.007,0.001,1.022
0,108963833,0.006,0,1.023
0,108966160,0.006,-0.001,1.023
0,108968487,0.008,-0.001,1.022
0,108970814,0.005,0.001,1.023
0,108973141,0.008,0,1.022
0,108975468,0.007,0.001,1.023
0,108977795,0.006,0.001,1.022
0,108980122,0.005,-0.001,1.022
0,108982449,0.006,0,1.022
0,108984776,0.005,-0.001,1.021
0,108987103,0.007,0,1.021
0,108989429,0.008,-0.001,1.023
0,108991756,0.006,0,1.02
0,108994082,0.005,-0.001,1.021
0,108996409,0.006,-0.001,1.022
0,108998736,0.005,-0.001,1.022
0,109001063,0.005,-0.001,1.022
0,109003390,0.007,0,1.019
0,109005716,0.006,-0.001,1.021
0,109008043,0.005,0,1.02
0,109010369,0.006,0,1.023
0,109012696,0.008,-0.001,1.022
0,109015023,0.008,-0.002,1.021
0,109017350,0.01,0,1.022
0,109019677,0.05,0.007,1.022
0,109022004,0.247,0.123,1.021
0,109024330,0.394,0.166,1.025
2,108955649,0.012,-0.019,1.037
2,108957973,0.012,-0.016,1.036
2,108960298,0.013,-0.017,1.038
2,108962622,0.012,-0.015,1.039
2,108964946,0.015,-0.017,1.038
2,108967270,0.014,-0.017,1.039
2,108969594,0.013,-0.019,1.039
2,108971918,0.012,-0.018,1.04
2,108974243,0.012,-0.018,1.042
2,108976568,0.013,-0.019,1.038
2,108978892,0.013,-0.017,1.036
2,108981215,0.012,-0.019,1.038
2,108983540,0.013,-0.018,1.039
2,108985865,0.011,-0.019,1.038
2,108988189,0.011,-0.02,1.037
2,108990512,0.012,-0.021,1.039
2,108992837,0.013,-0.019,1.037
2,108995161,0.013,-0.02,1.038
2,108997486,0.01,-0.021,1.039
2,108999810,0.011,-0.019,1.039
2,109002134,0.01,-0.02,1.039
2,109004458,0.01,-0.02,1.039
2,109006782,0.01,-0.019,1.039
2,109009106,0.008,-0.018,1.041
2,109011431,0.008,-0.018,1.039
2,109013755,0.011,-0.02,1.038
2,109016079,0.011,-0.018,1.037
2,109018403,0.009,-0.019,1.039
2,109020728,-0.004,0,1.038
2,109023052,-0.113,0.232,1.044
0,109038290,-0.013,0.034,1.023
0,109040617,0,0.033,1.022
0,109042943,-0.037,-0.011,1.005
0,109045270,-0.025,-0.023,1.018
0,109047597,-0.029,-0.025,1.021
0,109049924,-0.006,-0.011,1.022
0,109052250,0,-0.011,1.022
0,109054577,0.022,0.017,1.022
0,109056904,0.06,0.061,1.025
0,109059230,0.059,0.048,1.026
0,109061557,-0.021,-0.043,1.009
0,109063883,0.009,0,1.021
0,109066210,0.041,0.021,1.026
0,109068536,0.011,-0.026,1.015
0,109070863,0.004,-0.042,1.015
0,109073190,0.001,-0.036,1.02
0,109075517,0.035,-0.024,1.017
0,109077843,-0.055,-0.047,1.03
0,109080169,-0.089,-0.057,1.028
0,109082496,-0.075,-0.047,1.025
0,109084822,-0.049,-0.036,1.023
0,109087148,-0.024,-0.018,1.022
0,109089476,-0.005,-0.008,1.022
0,109091803,0,-0.001,1.02
0,109094129,0.001,-0.001,1.023
0,109096456,0.003,-0.002,1.022
0,109098782,0.004,-0.002,1.022
0,109101109,0.004,-0.001,1.021
0,109103435,0.004,0.001,1.022
0,109105762,0.006,-0.001,1.023
2,109036998,0.056,0.036,1.03
2,109039323,0.04,0.01,1.033
2,109041647,0.026,0.009,1.037
2,109043972,0.006,-0.048,1.042
2,109046296,0.001,-0.055,1.042
2,109048620,0.008,-0.055,1.041
2,109050944,0.009,-0.02,1.045
2,109053268,0.013,-0.026,1.04
2,109055592,0.033,0.027,1.041
2,109057916,0.04,0.08,1.038
2,109060241,0.019,-0.017,1.042
2,109062565,-0.007,-0.055,1.04
2,109064889,-0.01,-0.01,1.042
2,109067213,0.011,-0.018,1.04
2,109069537,0.015,-0.043,1.042
2,109071861,-0.005,-0.082,1.04
2,109074185,-0.011,-0.056,1.039
2,109076510,-0.004,-0.022,1.044
2,109078834,0.008,-0.116,1.04
2,109081159,0.005,-0.079,1.04
2,109083483,-0.002,-0.077,1.039
2,109085807,0.001,-0.058,1.04
2,109088131,0.003,-0.039,1.04
2,109090455,0.007,-0.03,1.042
2,109092779,0.007,-0.025,1.042
2,109095103,0.005,-0.022,1.041
2,109097427,0.006,-0.022,1.04
2,109099752,0.006,-0.022,1.042
2,109102076,0.004,-0.023,1.041
2,109104400,0.004,-0.025,1.043
0,109108089,0.005,-0.001,1.022
0,109110415,0.006,-0.001,1.021
0,109112741,0.005,-0.001,1.022
0,109115068,0.005,-0.002,1.021
0,109117395,0.008,-0.001,1.023
0,109119721,0.006,-0.002,1.022
0,109122048,0.005,-0.001,1.021
0,109124375,0.005,-0.001,1.023
0,109126702,0.005,-0.001,1.021
0,109129029,0.007,-0.001,1.021
0,109131356,0.005,0,1.023
0,109133683,0.004,-0.001,1.021
0,109136009,0.006,-0.002,1.02
0,109138335,0.006,0,1.021
0,109140662,0.006,-0.002,1.022
0,109142989,0.007,0,1.021
0,109145316,0.006,-0.001,1.022
0,109147642,0.004,-0.001,1.022
0,109149970,0.005,-0.002,1.02
0,109152297,0.006,-0.003,1.019
0,109154624,0.007,-0.002,1.021
0,109156951,0.006,0,1.021
0,109159278,0.007,-0.001,1.022
0,109161605,0.005,-0.001,1.021
0,109163931,0.005,0,1.021
0,109166258,0.005,-0.001,1.022
0,109168585,0.007,-0.001,1.02
0,109170911,0.006,-0.002,1.022
0,109173238,0.006,-0.002,1.022
0,109175565,0.007,-0.002,1.022
2,109106724,0.005,-0.024,1.043
2,109109049,0.005,-0.024,1.044
2,109111373,0.004,-0.023,1.042
2,109113698,0.006,-0.026,1.043
2,109116022,0.004,-0.025,1.044
2,109118346,0.005,-0.023,1.042
2,109120671,0.006,-0.025,1.044
2,109122994,0.005,-0.026,1.043
2,109125319,0.006,-0.024,1.043
2,109127644,0.002,-0.022,1.043
2,109129968,0.003,-0.024,1.043
2,109132292,0.004,-0.025,1.043
2,109134616,0.002,-0.026,1.042
2,109136941,0.005,-0.025,1.043
2,109139266,0.007,-0.025,1.042
2,109141591,0.003,-0.026,1.042
2,109143916,0.004,-0.025,1.042
2,109146240,0.003,-0.026,1.043
2,109148565,0.006,-0.025,1.04
2,109150890,0.005,-0.028,1.038
2,109153214,0.004,-0.029,1.039
2,109155539,0.005,-0.029,1.039
2,109157863,0.005,-0.029,1.039
2,109160188,0.004,-0.03,1.04
2,109162512,0.005,-0.029,1.037
2,109164836,0.005,-0.029,1.039
2,109167160,0.005,-0.031,1.038
2,109169485,0.006,-0.028,1.039
2,109171810,0.005,-0.029,1.039
2,109174134,0.005,-0.029,1.037
0,109177892,0.006,-0.002,1.02
0,109180218,0.007,-0.001,1.022
0,109182545,0.006,-0.001,1.021
0,109184872,0.007,-0.001,1.021
0,109187198,0.007,-0.001,1.022
0,109189525,0.008,-0.001,1.021
0,109191851,0.007,-0.002,1.023
0,109194178,0.007,-0.002,1.021
0,109196505,0.007,-0.002,1.023
0,109198832,0.006,-0.002,1.021
0,109201159,0.005,-0.002,1.02
0,109203485,0.006,-0.001,1.021
0,109205812,0.007,-0.001,1.022
0,109208138,0.005,0,1.021
0,109210464,0.005,-0.001,1.023
0,109212791,0.005,0,1.023
0,109215117,0.005,-0.001,1.021
0,109217444,0.008,-0.001,1.021
0,109219770,0.007,-0.001,1.023
0,109222096,0.006,-0.001,1.022
0,109224422,0.006,-0.001,1.022
0,109226748,0.007,-0.003,1.022
0,109229075,0.007,-0.001,1.022
0,109231402,0.005,-0.001,1.021
0,109233728,0.007,-0.002,1.022
0,109236055,0.005,-0.002,1.021
0,109238381,0.008,-0.002,1.02
